NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,R,PLANETDISCMETH,DATE,MASS
CoRoT-10 b,2.75448,0.105463,13.2406,0.53,218.9,2454990.85,301,Bonomo 2010,http://adsabs.harvard.edu/abs/2010A&A...520A..65B,Bonomo 2010,http://adsabs.harvard.edu/abs/2010A&A...520A..65B,0.97,Transit,2010,2.75536
Kepler-286 d,,0.0640044,5.914323,,90,2454966.48698,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.118655,Transit,2014,0.00789025
Kepler-338 c,,0.164238,24.310856,,90,2454970.04147,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.208761,Transit,2014,0.0178911
WASP-62 b,0.562022,0.0567187,4.411953,0,90,2455855.39195,60,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,1.39,Transit,2012,0.56227
Kepler-300 c,,0.23162,40.714955,,90,2454979.56443,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.200732,Transit,2014,0.0169862
Kepler-258 c,,0.203997,33.653079,,90,2454980.79807,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.322063,Transit,2014,0.0400599
Kepler-25 b,,0.0702822,6.2385,0,90,,2.8,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.24177,Transit,2011,0.0223552
Kepler-167 c,,0.0743589,7.406097,,90,2454967.07393,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.122223,Transit,2014,0.00871939
Kepler-291 b,,0.0455136,3.546511,,90,2454967.90112,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.192702,Transit,2014,0.0161415
Kepler-332 d,,0.206247,34.21154,,90,2454987.57732,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.105273,Transit,2014,0.00523423
WASP-11 b,0.539752,0.0436466,3.722465,0,90,2454473.05588,82.1,West 2009,http://adsabs.harvard.edu/abs/2009A%26A...502..395W,West 2009 ; Bakos 2009,http://adsabs.harvard.edu/abs/2009A%26A...502..395W ; http://adsabs.harvard.edu/abs/2009ApJ...696.1950B,0.91,Transit,2009,0.539755
Kepler-192 c,,0.15002,21.2234,,90,2455003.3746,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.248907,Transit,2014,0.0235009
Kepler-62 c,,0.0928559,12.4417,0.186815,254.476,2454960.666,,Borucki 2013,http://adsabs.harvard.edu/abs/2013Sci...340..587B,Borucki 2013,http://adsabs.harvard.edu/abs/2013Sci...340..587B,0.0481326,Transit,2013,0
Kepler-371 c,,0.325944,67.968015,,90,2454996.5629,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.158801,Transit,2014,0.0131206
Kepler-227 b,,0.0877115,9.488015,,90,2455003.53899,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.277456,Transit,2014,0.0288426
Kepler-33 c,,0.118876,13.17562,0,90,2454976.6764,,Lissauer 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..112L,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.28523,Transit,2011,0.0305282
Kepler-275 b,,0.0926511,10.300682,,90,2454975.73999,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.208761,Transit,2014,0.0178911
CoRoT-14 b,7.56823,0.0269122,1.51214,0,90,2454787.6694,1230,Tingley 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..97T,Tingley 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..97T,1.09,Transit,2011,7.69464
