NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,R,PLANETDISCMETH,DATE,MASS
HD 95086 b,,,,,,,,,,Rameau 2013,http://adsabs.harvard.edu/abs/2013arXiv1305.7428R,,Imaging,2013,4.5
HR 8799 b,,67.4293,164253,0,,,,Soummer 2011,http://adsabs.harvard.edu/abs/2011ApJ...741...55S,Marois 2008,http://adsabs.harvard.edu/abs/2008Sci...322.1348M,1.2,Imaging,2008,7
Fomalhaut b,,113.443,318498,0.12,,,,,,Kalas 2008,http://adsabs.harvard.edu/abs/2008Sci...322.1345K,,Imaging,2008,0.5
GJ 504 b,,,,,,,,,,Kuzuhara 2013,http://arxiv.org/abs/1307.2886,,Imaging,2013,4
HR 8799 c,,42.4842,82145,0,,,,Soummer 2011,http://adsabs.harvard.edu/abs/2011ApJ...741...55S,Marois 2008,http://adsabs.harvard.edu/abs/2008Sci...322.1348M,1.2,Imaging,2008,9.5
HR 8799 d,,26.7553,41054,0.1,,,,Soummer 2011,http://adsabs.harvard.edu/abs/2011ApJ...741...55S,Marois 2008,http://adsabs.harvard.edu/abs/2008Sci...322.1348M,1.37,Imaging,2008,9.5
beta Pic b,,8.75626,7154,0.021,215,2453795.5,,Chauvin 2012,http://adsabs.harvard.edu/abs/2012A%26A...542A..41C,Lagrange 2009,http://adsabs.harvard.edu/abs/2009A%26A...493L..21L,,Imaging,2009,9
HR 8799 e,,14.5253,16422,0,,,,Soummer 2011,http://adsabs.harvard.edu/abs/2011ApJ...741...55S,Marois 2010,http://adsabs.harvard.edu/abs/2010Natur.468.1080M,,Imaging,2010,7
MOA-2009-BLG-387L b,,1.76808,1970,,,,,Batista 2011,http://adsabs.harvard.edu/abs/2011A%26A...529A.102B,Batista 2011,http://adsabs.harvard.edu/abs/2011A%26A...529A.102B,,Microlensing,2011,2.6
OGLE-2007-BLG-368L b,,,,,,,,Sumi 2010,http://adsabs.harvard.edu/abs/2010ApJ...710.1641S,Sumi 2010,http://adsabs.harvard.edu/abs/2010ApJ...710.1641S,,Microlensing,2010,0.0629
OGLE-05-169L b,,3.41991,3300,,,,,Gould 2006,http://adsabs.harvard.edu/abs/2006ApJ...644L..37G,Gould 2006,http://adsabs.harvard.edu/abs/2006ApJ...644L..37G,,Microlensing,2006,0.04
OGLE-05-071L b,,3.54863,3600,,,,,Dong 2009,http://adsabs.harvard.edu/abs/2009ApJ...695..970D,Udalski 2005,http://adsabs.harvard.edu/abs/2005ApJ...628L.109U,,Microlensing,2005,3.8
OGLE235-MOA53 b,,,,,,,,Bennett 2006,http://adsabs.harvard.edu/abs/2006ApJ...647L.171B,Bond 2004,http://adsabs.harvard.edu/abs/2004ApJ...606L.155B,,Microlensing,2004,2.6
MOA-2008-BLG-310L b,,,,,,,,Janczak 2010,http://adsabs.harvard.edu/abs/2010ApJ...711..731J,Janczak 2010,http://adsabs.harvard.edu/abs/2010ApJ...711..731J,,Microlensing,2010,0.23
OGLE-2006-BLG-109L c,,4.52773,4927.5,0.15,,,,Bennett 2010,http://adsabs.harvard.edu/abs/2010ApJ...713..837B,Gaudi 2008,http://adsabs.harvard.edu/abs/2008Sci...319..927G,,Microlensing,2008,0.271
MOA-2010-BLG-477L b,,,,,,,,Bachelet 2012,http://adsabs.harvard.edu/abs/2012ApJ...754...73B,Bachelet 2012,http://adsabs.harvard.edu/abs/2012ApJ...754...73B,,Microlensing,2012,1.5
MOA-bin-1L b,,,,,,,,Bennett 2012,http://adsabs.harvard.edu/abs/2012ApJ...757..119B,Bennett 2012,http://adsabs.harvard.edu/abs/2012ApJ...757..119B,,Microlensing,2012,3.7
MOA-2009-BLG-266L b,,,,,,,,Muraki 2011,http://adsabs.harvard.edu/abs/2011ApJ...741...22M,Donnison 2010,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2966.2010...x/pdf,,Microlensing,2010,0.0327
MOA-2007-BLG-400L b,,,,,,,,Dong 2009,http://adsabs.harvard.edu/abs/2009ApJ...698.1826D,Dong 2009,http://adsabs.harvard.edu/abs/2009ApJ...698.1826D,,Microlensing,2009,0.83
OGLE-2011-BLG-0251 b,,,,,,,,Kains 2013,http://adsabs.harvard.edu/abs/2013A%26A...552A..70K,Kains 2013,http://adsabs.harvard.edu/abs/2013A%26A...552A..70K,,Microlensing,2013,0.53
OGLE-2006-BLG-109L b,,2.30386,1788.5,,,,,Bennett 2010,http://adsabs.harvard.edu/abs/2010ApJ...713..837B,Gaudi 2008,http://adsabs.harvard.edu/abs/2008Sci...319..927G,,Microlensing,2008,0.727
OGLE-05-390L b,,2.72349,3500,,,,,,http://adsabs.harvard.edu/abs/2006Natur.439..437B,Beaulieu 2006,http://adsabs.harvard.edu/abs/2006Natur.439..437B,,Microlensing,2006,0.0173
MOA-2007-BLG-192L b,,,,,,,,Kubas 2012,http://adsabs.harvard.edu/abs/2012A%26A...540A..78K,Bennett 2008,http://adsabs.harvard.edu/abs/2008AAS...212.1012B,,Microlensing,2008,0.01
MOA-2009-BLG-319L b,,,,,,,,Miyake 2011,http://adsabs.harvard.edu/abs/2011ApJ...728..120M,Miyake 2011,http://adsabs.harvard.edu/abs/2011ApJ...728..120M,,Microlensing,2011,0.157
HD 116029 b,1.9075,1.64869,670,0,40,2455220,36.6,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,RV,2011,1.9075
HD 219828 b,0.0622185,0.0515012,3.8334999,0,0,2453898.629,7,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M,,RV,2007,0.0622185
HD 1237 b,3.3748,0.494668,133.71001,0.511,290.7,2451545.86,167,Naef 2001,http://adsabs.harvard.edu/abs/2001A%26A...375..205N,Naef 2001,http://adsabs.harvard.edu/abs/2001A%26A...375..205N,,RV,2001,3.3748
HD 4308 b,0.0477376,0.119192,15.56,0,359,2453314.7,4.07,Udry 2006,http://adsabs.harvard.edu/abs/2006A%26A...447..361U,Udry 2006,http://adsabs.harvard.edu/abs/2006A%26A...447..361U,,RV,2006,0.0477376
HD 24040 b,4.02189,4.92406,3668,0.04,154,2454308,47.4,Boisse 2012,http://adsabs.harvard.edu/abs/2012A%26A...545A..55B,Wright 2007,http://adsabs.harvard.edu/abs/2007ApJ...657..533W,,RV,2007,4.02189
HD 200964 b,1.94873,1.64347,613.8,0.04,288,2454900,34.5,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,,RV,2011,1.94873
HD 147018 b,2.12711,0.238855,44.236,0.4686,335.97,2454459.49,145.33,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,,RV,2010,2.12711
HD 218566 b,0.212872,0.687282,225.7,0.3,36,2450360,8.3,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,,RV,2011,0.212872
HD 45364 b,0.187149,0.68156,226.93,0.1684,162.58,2453535.817118141,7.22,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C,,RV,2009,0.187149
HD 141937 b,9.4752,1.50087,653.21997,0.41,187.72,2451847.38,234.5,Udry 2002,http://adsabs.harvard.edu/abs/2002A%26A...390..267U,Udry 2002,http://adsabs.harvard.edu/abs/2002A%26A...390..267U,,RV,2002,9.4752
HD 156668 b,0.0130582,0.0499846,4.6455,0,90,2454718.57,1.89,Howard 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...73H,Howard 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...73H,,RV,2011,0.0130582
GJ 649 b,0.325341,1.13179,598.3,0.3,352,2452876,12.4,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..149J,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..149J,,RV,2010,0.325341
HD 132406 b,5.60495,1.98227,974,0.34,214,2453474,115,Da Silva 2007,http://adsabs.harvard.edu/abs/2007A%26A...473..323D,Da Silva 2007,http://adsabs.harvard.edu/abs/2007A%26A...473..323D,,RV,2007,5.60495
HD 38529 c,12.2603,3.6002,2146.0503,0.355094,17.9023,2452255.921,169.033,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Fischer 2003,http://adsabs.harvard.edu/abs/2003ApJ...586.1394F,,RV,2003,12.2603
HD 126614 A b,0.385706,2.36847,1244,0.41,243,2453808,7.3,Howard 2010,http://adsabs.harvard.edu/abs/2010ApJ...721.1467H,Howard 2010,http://adsabs.harvard.edu/abs/2010ApJ...721.1467H,,RV,2010,0.385706
HD 177830 b,1.31967,1.13872,410.1,0.096,189,2450254,32.64,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,,RV,2000,1.31967
HD 38283 b,0.338157,1.02382,363.2,0.41,219,2450802.6,10,Tinney 2011,http://adsabs.harvard.edu/abs/2011ApJ...732...31T,Tinney 2011,http://adsabs.harvard.edu/abs/2011ApJ...732...31T,,RV,2011,0.338157
HD 217786 b,13.1868,2.3791,1319,0.4,100,2456053,261,Moutou 2011,http://adsabs.harvard.edu/abs/2011A%26A...527A..63M,Moutou 2011,http://adsabs.harvard.edu/abs/2011A%26A...527A..63M,,RV,2011,13.1868
HD 32518 b,3.34549,0.595162,157.54,0.01,306.11,2452950.29,115.83,Dollinger 2009,http://adsabs.harvard.edu/abs/2009A%26A...505.1311D,Dollinger 2009,http://adsabs.harvard.edu/abs/2009A%26A...505.1311D,,RV,2009,3.34549
HD 73267 b,3.06257,2.19849,1260,0.256,229.1,2451821.7,64.29,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,,RV,2009,3.06257
HD 147513 b,1.17965,1.30958,528.40002,0.26,282,2451123,29.3,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,,RV,2004,1.17965
HD 72659 b,3.1741,4.75375,3658,0.22,260.7,2455351,41,Moutou 2011,http://adsabs.harvard.edu/abs/2011A%26A...527A..63M,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B,,RV,2003,3.1741
BD +14 4559 b,1.51929,0.775866,268.94,0.29,87.64,2453293.71,55.21,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N,,RV,2009,1.51929
HD 197037 b,0.807324,2.07477,1035.7,0.22,298,2451353.1,15.5,Robertson 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...39R,Robertson 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...39R,,RV,2012,0.807324
HD 70642 b,1.90944,3.18072,2068,0.034,205,2451350,30.4,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Carter 2003,http://adsabs.harvard.edu/abs/2003ApJ...593L..43C,,RV,2003,1.90944
M 67 YBP 1194 b,0.346328,0.0715732,6.958,0.24,98.62,2455978.8,37.72,Brucalassi 2014,http://adsabs.harvard.edu/abs/2014A%26A...561L...9B,Brucalassi 2014,http://adsabs.harvard.edu/abs/2014A%26A...561L...9B,,RV,2014,0.346328
HD 40307 c,0.0211468,0.0800702,9.62,0,0,2454551.53,2.47,Mayor 2009,http://adsabs.harvard.edu/abs/2009A%26A...493..639M,Mayor 2009,http://adsabs.harvard.edu/abs/2009A%26A...493..639M,,RV,2009,0.0211468
HD 142 b,1.3057,1.04292,350.3,0.26,303,2451963,33.9,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Tinney 2002,http://adsabs.harvard.edu/abs/2002ApJ...571..528T,,RV,2002,1.3057
GJ 328 b,2.3,4.43476,4100,0.37,290,2454500,40,Robertson 2013,http://adsabs.harvard.edu/abs/2013arXiv1307.7640R,Robertson 2013,http://adsabs.harvard.edu/abs/2013arXiv1307.7640R,,RV,2013,2.3
HD 102329 b,4.47808,1.80892,778.1,0.211,178,2455096,84.8,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,RV,2011,4.47808
HD 159868 b,2.20004,2.29553,1178.4,0.01,350,2453435,38.3,Wittenmyer 2012,http://adsabs.harvard.edu/abs/2012ApJ...753..169W,O'Toole 2007,http://adsabs.harvard.edu/abs/2007ApJ...660.1636O,,RV,2007,2.20004
HD 114783 b,1.10505,1.15987,493.7,0.144,86,2453806,31.9,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Vogt 2002,http://adsabs.harvard.edu/abs/2002ApJ...568..352V,,RV,2002,1.10505
GJ 581 e,0.00613456,0.028459,3.14945,0.32,236,2454750.31,1.96,Forveille 2011,http://xxx.lanl.gov/abs/1109.2505,Mayor 2009,http://adsabs.harvard.edu/abs/2009A%26A...507..487M,,RV,2009,0.00613456
epsilon Ret b,1.37669,1.19471,428.1,0.06,216,2450836,32.2,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2001,http://adsabs.harvard.edu/abs/2001ApJ...555..410B,,RV,2001,1.37669
GJ 674 b,0.034879,0.0386657,4.6938,0.2,143,2453780.085,8.7,Bonfils 2007,http://adsabs.harvard.edu/abs/2007A%26A...474..293B,Bonfils 2007,http://adsabs.harvard.edu/abs/2007A%26A...474..293B,,RV,2007,0.034879
HD 168443 c,17.3857,2.85281,1749.83,0.2113,64.87,2455599.9,297.7,Pilyavsky 2011 (corrected: priv. comm.),http://adsabs.harvard.edu/abs/2011ApJ...743..162P,Marcy 2001,http://adsabs.harvard.edu/abs/2001ApJ...555..418M,,RV,2001,17.3857
HD 81040 b,6.87654,1.9372,1001.7,0.526,81.3,2452504,168,Sozzetti 2006,http://adsabs.harvard.edu/abs/2006A%26A...449..417S,Sozzetti 2006,http://adsabs.harvard.edu/abs/2006A%26A...449..417S,,RV,2006,6.87654
HD 208527 b,10.014,2.099,875.5,0.08,278,2450745.3,155.4,Lee 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A...2L,Lee 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A...2L,,RV,2013,10.014
GJ 163 c,0.0215524,0.125354,25.63058,0.099,3.962,2452922.2303,2.75,Bonfils 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.110B,Bonfils 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.110B,,RV,2013,0.0215524
HD 95089 b,1.12925,1.38575,507,0.157,317,2454983,23.5,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,,RV,2010,1.12925
HD 114729 b,0.944758,2.10235,1114,0.167,93,2450520,18.8,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B,,RV,2003,0.944758
HD 100655 b,1.33352,0.682908,157.57,0.085,132,2453072.4,35.2,Omiya 2012,http://adsabs.harvard.edu/abs/2012PASJ...64...34O,Omiya 2012,http://adsabs.harvard.edu/abs/2012PASJ...64...34O,,RV,2012,1.33352
HD 142415 b,1.66194,1.06061,386.29999,0.5,255,2451519,51.3,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,,RV,2004,1.66194
HD 114386 b,1.3637,1.72685,937.70001,0.23,273,2450454,34.3,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,,RV,2004,1.3637
HD 103197 b,0.0982431,0.249018,47.84,0,0,2454826,5.9,Mordasini 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.111M,Mordasini 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.111M,,RV,2011,0.0982431
7 CMa b,2.43233,1.80264,763,0.14,12,2455520,44.9,Wittenmyer 2011,http://adsabs.harvard.edu/abs/2011ApJ...743..184W,Wittenmyer 2011,http://adsabs.harvard.edu/abs/2011ApJ...743..184W,,RV,2011,2.43233
HD 152581 b,1.51375,1.48938,689,0,321,2455320,36.6,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,RV,2011,1.51375
HD 13908 c,5.13,2.03386,931,0.12,185,2456165,90.9,Moutou 2013,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M,Moutou 2013,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M,,RV,2013,5.13
HD 125595 b,0.0416764,0.0809437,9.6737,0,90,2454435.23,4.79,Segransan 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..54S,Segransan 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..54S,,RV,2011,0.0416764
HIP 57274 c,0.410096,0.177758,32.03,0.05,356.2,2455785.208,32.4,Fischer 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...21F,Fischer 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...21F,,RV,2012,0.410096
HD 93083 b,0.368176,0.476549,143.58,0.14,333.5,2453181.7,18.3,Lovis 2005,http://adsabs.harvard.edu/abs/2005A%26A...437.1121L,Lovis 2005,http://adsabs.harvard.edu/abs/2005A%26A...437.1121L,,RV,2005,0.368176
HD 31253 b,0.501427,1.26054,466,0.3,244,2450660,12,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,,RV,2011,0.501427
HD 89744 b,8.18778,0.902604,256.78,0.673,195.1,2451505.5,271.6,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Korzennik 2000,http://adsabs.harvard.edu/abs/2000ApJ...533L.147K,,RV,2000,8.18778
HD 183263 c,3.47646,4.29488,3066,0.23873,344.598,2451970.94,46.32,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,,RV,2009,3.47646
HD 192310 c,0.0736073,1.18358,525.8,0.32,110,2455311.915,2.27,Pepe 2011,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P,Pepe 2011,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P,,RV,2011,0.0736073
HD 1690 b,6.52644,1.36191,533,0.64,122,2454449,190,Moutou 2011,http://adsabs.harvard.edu/abs/2011A%26A...527A..63M,Moutou 2011,http://adsabs.harvard.edu/abs/2011A%26A...527A..63M,,RV,2011,6.52644
HD 28185 b,5.79721,1.02341,379,0.05,44,2454230.5,163.5,Minniti 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1424M,Santos 2001,http://adsabs.harvard.edu/abs/2001A%26A...379..999S,,RV,2001,5.79721
HD 23127 b,1.40487,2.31864,1214,0.44,190,2450229,27.5,O'Toole 2007,http://adsabs.harvard.edu/abs/2007ApJ...660.1636O,O'Toole 2007,http://adsabs.harvard.edu/abs/2007ApJ...660.1636O,,RV,2007,1.40487
HD 154672 b,5.00638,0.598618,163.94,0.61,265,2453045.3,225,Lopez-Morales 2008,http://adsabs.harvard.edu/abs/2008AJ....136.1901L,Lopez-Morales 2008,http://adsabs.harvard.edu/abs/2008AJ....136.1901L,,RV,2008,5.00638
gamma Leo A b,10.3722,1.29554,428.5,0.144,206.7,2451236,208.3,Han 2010,http://adsabs.harvard.edu/abs/2010A%26A...509A..24H,Han 2010,http://adsabs.harvard.edu/abs/2010A%26A...509A..24H,,RV,2010,10.3722
HD 11506 b,4.7347,2.60488,1405,0.3,262,2453603,80,Fischer 2007,http://adsabs.harvard.edu/abs/2007ApJ...669.1336F,Fischer 2007,http://adsabs.harvard.edu/abs/2007ApJ...669.1336F,,RV,2007,4.7347
tau Boo b,4.13,0.0480039,3.312433,0.023,90,2455652.108,466.4,Brogi 2012,http://adsabs.harvard.edu/abs/2012Natur.486..502B,Butler 1997,http://adsabs.harvard.edu/abs/1997ApJ...474L.115B,,RV,1997,5.95
HD 34445 b,0.790506,2.06642,1049,0.27,104,2453781,15.7,Howard 2010,http://adsabs.harvard.edu/abs/2010ApJ...721.1467H,Howard 2010,http://adsabs.harvard.edu/abs/2010ApJ...721.1467H,,RV,2010,0.790506
HD 125612 b,3.06805,1.3728,559.40487,0.45899,41.4902,2454894.84807,79.793,Lo Curto 2010 (corrected: priv. comm.),http://adsabs.harvard.edu/abs/2010A%26A...512A..48L,Fischer 2007,http://adsabs.harvard.edu/abs/2007ApJ...669.1336F,,RV,2007,3.06805
42 Dra b,3.73203,1.16693,479.1,0.38,218.7,2452757.4,110.5,Dollinger 2009,http://adsabs.harvard.edu/abs/2009A%26A...499..935D,Dollinger 2009,http://adsabs.harvard.edu/abs/2009A%26A...499..935D,,RV,2009,3.73203
HD 153950 b,2.74209,1.28031,499.4,0.34,308.2,2454502,69.15,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,,RV,2009,2.74209
HD 16141 b,0.249652,0.355656,75.523,0.252,42,2450338,11.99,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Marcy 2000,http://adsabs.harvard.edu/abs/2000ApJ...536L..43M,,RV,2000,0.249652
HIP 91258 b,1.068,0.0566534,5.0505,0.024,276,2456164.275,130.9,Moutou 2013,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M,Moutou 2013,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M,,RV,2013,1.068
HD 204313 d,1.60642,3.94498,2831.6,0.28,247,2446376.9,23.7,Robertson 2012,http://adsabs.harvard.edu/abs/2012ApJ...754...50R,Robertson 2012,http://adsabs.harvard.edu/abs/2012ApJ...754...50R,,RV,2012,1.60642
HD 50554 b,4.39876,2.26097,1224,0.444,7.4,2450646,91.5,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Fischer 2002,http://adsabs.harvard.edu/abs/2002PASP..114..529F,,RV,2002,4.39876
HD 11964 c,0.0770689,0.226601,37.910254,0.301733,101.941,2454366.648,4.64578,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Wright 2007,http://adsabs.harvard.edu/abs/2007ApJ...657..533W,,RV,2007,0.0770689
HD 13189 b,7.12332,1.25186,471.6,0.27,160.7,2452327.9,173.3,Hatzes 2005,http://adsabs.harvard.edu/abs/2005A&A...437..743H,Hatzes 2005,http://adsabs.harvard.edu/abs/2005A&A...437..743H,,RV,2005,7.12332
HD 60532 b,1.0348,0.759258,201.3,0.28,351.9,2453987,29.3,Desort 2008,http://adsabs.harvard.edu/abs/2008A%26A...491..883D,Desort 2008,http://adsabs.harvard.edu/abs/2008A%26A...491..883D,,RV,2008,1.0348
HD 104067 b,0.185935,0.264333,55.806,0,90,2454043.15,11.56,Segransan 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..54S,Segransan 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..54S,,RV,2011,0.185935
HD 20794 b,0.00848679,0.120738,18.315,0,0,2454774.806,0.83,Pepe 2011,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P,Pepe 2011,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P,,RV,2011,0.00848679
HD 195019 b,3.57989,0.136688,18.20132,0.0138,231,2451015.5,271.5,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Fischer 1999,http://adsabs.harvard.edu/abs/1999PASP..111...50F,,RV,1999,3.57989
GJ 832 b,0.644279,3.4032,3416,0.12,304,2451211,14.9,Bailey 2009,http://adsabs.harvard.edu/abs/2009ApJ...690..743B,Bailey 2009,http://adsabs.harvard.edu/abs/2009ApJ...690..743B,,RV,2009,0.644279
GJ 667 C b,0.0174951,0.0504277,7.1999,0.15,12,2454446.1,3.9,Robertson 2014,http://adsabs.harvard.edu/abs/2014ApJ...793L..24R,Bonfils 2011,http://adsabs.harvard.edu/abs/2013A%26A...549A.109B,,RV,2011,0.0174951
alpha Ari b,1.71662,1.1296,380,0.25,89.16,2451213.52,41.1,Lee 2011,http://adsabs.harvard.edu/abs/2011A%26A...529A.134L,Lee 2011,http://adsabs.harvard.edu/abs/2011A%26A...529A.134L,,RV,2011,1.71662
61 Vir b,0.016075,0.05006,4.215,0.12,105,2453367.2224322916,2.12,Vogt 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1366V,Vogt 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1366V,,RV,2010,0.016075
HD 210702 b,1.86459,1.17218,354.29,0.036,282.3,2454142.6,37.45,Bowler 2010,http://adsabs.harvard.edu/abs/2010ApJ...709..396B,Johnson 2007,http://adsabs.harvard.edu/abs/2007ApJ...665..785J,,RV,2007,1.86459
alpha Cen B b,0.00354639,0.0418506,3.2357,0,0,2455280.17,0.51,Dumusque 2012,http://adsabs.harvard.edu/abs/2012Natur.491..207D,Dumusque 2012,http://adsabs.harvard.edu/abs/2012Natur.491..207D,,RV,2012,0.00354639
mu Ara b,1.74552,1.5273,643.25,0.128,22,2452365.6,37.78,Pepe 2007,http://adsabs.harvard.edu/abs/2007A%26A...462..769P,Butler 2001,http://adsabs.harvard.edu/abs/2001ApJ...555..410B,,RV,2001,1.74552
HD 73526 c,2.4209,1.02831,377.8,0.14,13,2451126.0757555556,68,Tinney 2006,http://adsabs.harvard.edu/abs/2006ApJ...647..594T,Tinney 2006,http://adsabs.harvard.edu/abs/2006ApJ...647..594T,,RV,2006,2.4209
HD 108341 b,3.4773,2.00715,1129,0.85,190,2456261.39,144,Moutou 2015,http://adsabs.harvard.edu/abs/2015A%26A...576A..48M,Moutou 2015,http://adsabs.harvard.edu/abs/2015A%26A...576A..48M,,RV,2015,3.4773
14 Her b,5.21486,2.93362,1773.4,0.369,22.6,2451372.7,90,Wittenmeyer 2007,http://adsabs.harvard.edu/abs/2007ApJ...654..625W,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B,,RV,2003,5.21486
HIP 79431 b,2.11299,0.358346,111.7,0.29,287.4,2454980.3,149.5,Apps 2010,http://adsabs.harvard.edu/abs/2010PASP..122..156A,Apps 2010,http://adsabs.harvard.edu/abs/2010PASP..122..156A,,RV,2010,2.11299
HD 171238 b,2.60901,2.54268,1523,0.4,47,2455062,52.2,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,,RV,2010,2.60901
HIP 5158 b,1.42633,0.887919,345.72,0.52,252,2454580.49,57,Lo Curto 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L,Lo Curto 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L,,RV,2010,1.42633
GJ 849 b,0.830886,2.35317,1882,0.04,355,2451488,22,Bonfils 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A.109B,Butler 2006,http://adsabs.harvard.edu/abs/2006PASP..118.1685B,,RV,2006,0.830886
HD 164922 b,0.357927,2.10091,1155,0.05,195,2451100,7.3,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,,RV,2006,0.357927
